CustomerID,Name,Gender,Age,Region,Occupation,Income,Customer_Segment,Join_Date
CUST0001,Mrs. Deborah Dominguez MD,Male,38,North,Doctor,191672,Retail,2023-04-25
CUST0002,Erin Martinez,Female,49,East,Trader,186472,Corporate,2021-05-15
CUST0003,Amanda Harris,Male,40,North,Teacher,155566,Private,2018-12-04
CUST0004,Candice Palmer,Male,50,North,Banker,142744,Retail,2021-10-25
CUST0005,Sandra Davis,Male,20,West,Student,109431,Corporate,2018-07-28
CUST0006,Vanessa Peterson,Female,35,South,Teacher,63001,Retail,2016-05-30
CUST0007,Tyler Fischer,Male,42,North,Engineer,87364,Corporate,2017-10-18
CUST0008,William Horton,Male,59,North,Engineer,144988,Retail,2024-06-05
CUST0009,Donna Williams,Male,48,West,Retired,65028,Corporate,2019-02-11
CUST0010,Mary Casey,Female,71,West,Trader,188645,Corporate,2016-02-05
CUST0011,Kevin Phillips,Male,20,South,Doctor,151878,Private,2017-02-15
CUST0012,Michael Richard,Male,57,West,Trader,144343,Corporate,2023-12-20
CUST0013,Jaime Davis MD,Male,63,East,Trader,148301,Retail,2023-04-02
CUST0014,Eric Peterson,Male,41,West,Trader,146295,Corporate,2017-08-13
CUST0015,Ms. Renee Cardenas PhD,Female,67,East,Trader,180829,Corporate,2019-07-27
CUST0016,Ashlee Baird,Male,49,South,Banker,54636,Retail,2019-06-27
CUST0017,Michael Conner,Female,64,South,Banker,199352,Retail,2021-06-28
CUST0018,Jeff Koch,Female,39,South,Retired,44262,Private,2025-03-12
CUST0019,Melissa Clark,Female,40,South,Teacher,100435,Corporate,2021-09-17
CUST0020,Janice Scott,Male,19,South,Engineer,148583,Corporate,2023-05-12
CUST0021,Elizabeth Smith,Female,44,East,Trader,189269,Retail,2024-05-02
CUST0022,Jodi Burns,Male,59,East,Retired,61844,Corporate,2023-07-11
CUST0023,Robert Robertson,Female,19,South,Teacher,84754,Retail,2022-07-03
CUST0024,Curtis Scott,Female,43,West,Engineer,185229,Corporate,2017-01-30
CUST0025,Cindy Parks,Female,34,North,Student,97129,Retail,2019-09-10
CUST0026,Charles Fields,Female,57,South,Doctor,60042,Corporate,2021-09-30
CUST0027,Michael Murray MD,Female,50,West,Banker,81665,Private,2016-08-25
CUST0028,Edward Haynes,Female,26,North,Student,136953,Retail,2019-08-21
CUST0029,James Allen,Female,60,South,Engineer,178448,Private,2022-09-30
CUST0030,Angela Robinson,Female,71,South,Student,165271,Retail,2020-10-05
CUST0031,Michelle Day,Male,65,East,Doctor,138533,Corporate,2017-01-07
CUST0032,Steven Walker,Male,56,North,Retired,93781,Corporate,2016-07-14
CUST0033,Lindsey Christensen,Female,46,North,Engineer,86262,Retail,2019-08-21
CUST0034,Brooke Carlson,Female,59,West,Student,66600,Corporate,2021-11-13
CUST0035,Kevin Marshall,Female,72,East,Banker,96898,Corporate,2016-06-12
CUST0036,Bradley Moore,Male,43,East,Banker,169369,Retail,2017-06-16
CUST0037,Dawn Navarro,Female,52,East,Teacher,50448,Retail,2017-07-06
CUST0038,Adam Garcia,Male,67,East,Student,46172,Corporate,2021-11-07
CUST0039,Jorge James,Male,42,North,Trader,193946,Corporate,2020-08-31
CUST0040,Adam Montgomery,Male,41,North,Student,27657,Corporate,2015-10-19
CUST0041,Dr. Nicole Mendez,Male,30,South,Retired,176497,Corporate,2017-04-28
CUST0042,Joseph Owens,Male,24,South,Engineer,177757,Retail,2016-07-25
CUST0043,Stephanie Ashley,Female,74,East,Engineer,132855,Corporate,2022-07-10
CUST0044,Regina Harris,Female,53,East,Retired,175650,Retail,2021-08-19
CUST0045,Ashley Miller,Female,62,East,Student,179903,Retail,2019-06-20
CUST0046,Keith Watson,Female,37,South,Retired,27906,Retail,2021-05-07
CUST0047,Patricia Schneider,Female,18,West,Doctor,81413,Retail,2017-04-06
CUST0048,Deanna Watson,Male,25,West,Retired,74028,Retail,2024-07-05
CUST0049,Samantha Davis,Female,63,South,Banker,27287,Retail,2017-01-15
